gene,lgu_Unaffected,lgcv_Unaffected,dropr_Unaffected,dist_Unaffected,lgu_CRC,lgcv_CRC,dropr_CRC,dist_CRC,mean_diff,dist_sign,dv_score,z_score,pval
WWOX,0.56234944,0.89380735,0.6529516994633273,0.018274516200871404,0.99549663,0.55231285,0.31154401154401157,0.0422922955158822,0.4331472,1.0,0.0246997363481368,2.4943358806868057,0.012619306876776148
DGKD,0.59967804,0.8261338,0.6028622540250447,0.00013290623262132137,0.71697843,0.7198189,0.4971139971139971,0.011973437335270587,0.11730039,1.0,0.024577677500069856,2.4825296467014315,0.013045321199807391
EYS,0.054716107,1.9319961,0.9695885509838998,0.0032543899324485267,0.28915042,1.194405,0.8264069264069264,0.02731687756560815,0.2344343,1.0,0.024568237041924415,2.4816165112789745,0.013078794551098394
CHRNA7,0.053883404,1.8856821,0.964221824686941,3.3465833346266246e-05,0.25554937,1.2420747,0.8467532467532467,0.021348700975482488,0.20166597,1.0,0.024542310379452162,2.479108735329464,0.013171114679106477
MIR4435-2HG,0.06529522,1.8254256,0.960644007155635,0.0011079799169569963,0.5692727,0.85565263,0.6230880230880231,0.024419236198288452,0.5039775,1.0,0.02425860391514088,2.451667013947781,0.014219618084966523
HDAC2,0.079692245,1.7425544,0.9516994633273703,9.064878654649707e-06,0.4289114,0.9987225,0.7249639249639249,0.024183816485544157,0.34921914,1.0,0.02416694165640461,2.4428009129529986,0.014573774391024585
NHS,0.1009383,1.6839238,0.9481216457960644,0.010584495280463546,0.7911907,0.6872508,0.45930735930735933,0.032690798565069505,0.69025236,1.0,0.02404169552461369,2.4306863865495085,0.015070252590882127
ATP1B1,0.6339988,0.7962569,0.5796064400715564,0.0001454852623000083,0.4849374,0.9184239,0.6730158730158731,0.010157344105346982,-0.14906141,1.0,0.02378079701667038,2.4054507819211213,0.016152527578522813
CERS6,0.71171534,0.74790454,0.5277280858676208,3.107159485242225e-05,1.2271675,0.3556989,0.11616161616161616,0.0002431423816789771,0.51545215,1.0,0.023452834236243524,2.373728335039681,0.01760950135423367
FAT1,0.71930367,0.7371303,0.518783542039356,6.65078421924329e-05,0.6780054,0.7556635,0.5321789321789322,0.0169574071729638,-0.04129827,1.0,0.02338023328070452,2.366705952949158,0.017947185591553616
HUNK,0.14002194,1.4953485,0.9123434704830053,0.002252614701788762,0.6597261,0.7774284,0.5544011544011545,0.024002713256239195,0.51970416,1.0,0.023378130463561297,2.366502556377631,0.01795705024918859
RUBCNL,0.1542891,1.4297996,0.8998211091234347,6.343906962622163e-05,0.41545862,1.0032259,0.7305916305916306,0.017168163923653623,0.26116952,1.0,0.023266529392545664,2.35570785875189,0.018487450700775065
PDE10A,0.013109544,2.5760658,0.9928443649373881,0.0007507248034549328,0.39899287,1.0314218,0.7500721500721501,0.023783185176571187,0.38588333,1.0,0.023203244208389567,2.3495865516628323,0.01879427406490275
OFD1,0.57450336,0.83606863,0.6100178890876565,0.0002224718123791841,0.4088722,0.9868852,0.7226551226551227,0.001332550851526318,-0.16563118,1.0,0.023165622850356546,2.3459475974795043,0.018978775570839712
ATP10B,0.80917716,0.6626206,0.44364937388193204,0.0001335436743657927,0.55167574,0.8528967,0.6239538239538239,0.009892276310750103,-0.25750142,1.0,0.023141711542267664,2.3436347582002175,0.019096862139718507
ST14,0.7467033,0.7004364,0.48300536672629696,0.0002110039859477362,0.5239401,0.86888665,0.6373737373737374,0.0020970876669155836,-0.22276324,1.0,0.023068882150330726,2.3365902804270995,0.01946049833172747
CASC15,0.02463872,2.2472298,0.9838998211091234,1.289413208233515e-05,0.3574452,1.0820228,0.7766233766233767,0.02187909716715046,0.3328065,1.0,0.02306576014478264,2.3362883020896983,0.019476220782364217
PRELID2,0.92693585,0.5898794,0.3667262969588551,0.008843430981827148,0.73147213,0.7175848,0.4961038961038961,0.02086597139352481,-0.19546372,1.0,0.023019360421704074,2.3318002539375344,0.019711201676811063
MACF1,0.82732856,0.6429395,0.4257602862254025,0.00018419178882238954,0.59057975,0.81199557,0.5888888888888889,0.004420920872119103,-0.23674881,1.0,0.022828870966380328,2.313375017939361,0.0207020293905964
RAB11FIP1,0.5710141,0.84534556,0.6207513416815742,0.00017047391222088317,0.33997977,1.0799174,0.7764790764790764,0.006212928921717463,-0.23103434,1.0,0.02280811759988535,2.3113676329385653,0.020812557178464752
PPP3CA,0.6325138,0.7910962,0.5742397137745975,0.00019232933874748222,0.4912369,0.90295506,0.6645021645021645,0.004280688340030267,-0.14127693,1.0,0.022642312641682236,2.2953300235109593,0.021714218258543694
NFAT5,0.5984019,0.83171767,0.6046511627906976,9.793148689646287e-05,1.1108966,0.4450995,0.1958152958152958,0.014722074287469394,0.5124947,1.0,0.022606570257381546,2.2918728144766933,0.021912983401107367
BRIP1,0.09847763,1.696366,0.9463327370304114,0.009666271619180376,0.28105927,1.216532,0.8373737373737373,0.03166524105854572,0.18258163,1.0,0.022564488873871972,2.2878024609709007,0.02214902746622549
NOX1,0.33223468,1.1798543,0.8193202146690519,0.04160783894090085,0.60041946,0.8743943,0.6318903318903318,0.061470811761543245,0.26818478,1.0,0.022514449906478336,2.282962404172136,0.022432583023365593
RNF213,0.56744725,0.8574696,0.6261180679785331,0.00010139289508570097,0.6715498,0.756434,0.5323232323232323,0.012783826834784242,0.10410255,1.0,0.022504511246990162,2.282001079849675,0.02248927650232213
TBC1D5,0.8566534,0.6213681,0.39892665474060823,0.00021744690223448693,0.88863766,0.5837161,0.35324675324675325,0.0024206938961603957,0.03198427,1.0,0.022489788727925814,2.2805770331076274,0.02257348762736333
SMURF1,0.68030936,0.755601,0.5384615384615384,0.000170028478698302,0.44908372,0.9486945,0.6975468975468976,0.005868129889391689,-0.23122564,1.0,0.022433978839023518,2.275178779580633,0.02289520730967376
JUND,0.4656651,0.9479316,0.6958855098389982,0.00010341147927712968,0.49492198,0.9108136,0.6691197691197691,0.012642360506097624,0.02925688,1.0,0.022299831450185346,2.262203272386908,0.02368484723445352
CAMK2D,0.8911793,0.5996859,0.3756708407871199,0.00019830412534265464,0.52260625,0.87093884,0.638961038961039,0.0029299683639545286,-0.36857307,1.0,0.0222905711164051,2.261307559629302,0.023740218444396888
RUNX1,0.2878776,1.1774919,0.817531305903399,0.002586508451014767,0.8317224,0.6478616,0.41904761904761906,0.023646078710237453,0.5438448,1.0,0.022282024504481,2.2604808821556395,0.023791421645354083
STK39,0.617576,0.8030509,0.5867620751341681,0.0001951212263104161,0.92438114,0.5599222,0.32655122655122654,0.0024947975116417,0.30680513,1.0,0.021941919314232637,2.2275839515413987,0.025908271829628182
LCN2,0.0066642785,2.7428284,0.9946332737030411,0.0025882736976476934,0.20118754,1.3519131,0.8823953823953824,0.019538783411464335,0.19452326,1.0,0.02191322104955576,2.224808090281725,0.02609412405999323
PRKCE,0.6510127,0.78265375,0.5617173524150268,0.00014253163245786117,0.5248491,0.87606466,0.6405483405483405,0.007720544621948086,-0.1261636,1.0,0.021761816654501574,2.2101633861678263,0.027093825032990626
MVP,0.51729625,0.88633156,0.6511627906976745,0.000214831987224761,0.14632806,1.443161,0.9054834054834054,0.00031885322984845637,-0.3709682,1.0,0.021749076651045512,2.208931099740756,0.02717943365394304
PDE4D,1.0649395,0.5056948,0.27191413237924866,0.021573405867515393,0.80431676,0.66708505,0.44285714285714284,0.024231999377980595,-0.26062274,1.0,0.02172378469144368,2.206484715904296,0.02735007922784982
DGKH,0.52235717,0.89240855,0.6529516994633273,0.00013435897491451904,0.95947355,0.54128397,0.30634920634920637,0.00829873053946129,0.43711638,1.0,0.021346381585726062,2.169980116332249,0.030008352281487793
ZNF407,0.4861526,0.9219432,0.6779964221824687,0.0001553917242986036,0.52971435,0.86877024,0.6366522366522367,0.006120214865578689,0.043561757,1.0,0.021211113899611656,2.1568962475409346,0.031013749390651935
PRIM2,0.39942998,1.018046,0.7370304114490162,8.453041934194683e-05,0.573042,0.8380618,0.6092352092352092,0.01275498827503216,0.173612,1.0,0.02108115084736326,2.1443254734545163,0.03200681711275877
RAPGEF2,0.640642,0.78764784,0.5724508050089445,0.0001678686047836358,0.87383366,0.5971998,0.3681096681096681,0.004685311271827786,0.23319167,1.0,0.021029924216154922,2.139370538979005,0.03240567097875835
CENPF,0.10670942,1.7161455,0.9499105545617174,0.021639571076397184,0.23717716,1.3237711,0.870995670995671,0.041041200707277695,0.13046774,1.0,0.020850477268962553,2.122013397894466,0.033836612967928614
OSBPL6,0.049819734,1.9825432,0.9731663685152058,0.0037238997361201086,0.25527775,1.2479664,0.8503607503607503,0.02411148098016886,0.20545802,1.0,0.02083691410060829,2.1207014902228027,0.03394693104362956
DLEU2,0.43274105,0.9869594,0.7209302325581395,5.0841293266374086e-05,0.7374242,0.70817924,0.4868686868686869,0.016298478859650505,0.30468315,1.0,0.020834429770603336,2.120461191532459,0.0339671710009708
TULP4,0.43277386,0.9740747,0.7101967799642218,0.00015212594718411583,0.98175234,0.52393746,0.2855699855699856,0.00560143283186538,0.54897845,1.0,0.020758181088153863,2.113085980309908,0.03459340941406519
GCC2,0.7179783,0.7292442,0.5152057245080501,0.0001374841118702108,0.9357584,0.5572579,0.32193362193362196,0.007058856804349737,0.21778011,1.0,0.020745672734528504,2.1118761003871365,0.0346970777973008
TPM1,0.61641395,0.8236243,0.59391771019678,4.444012479329623e-05,0.68805385,0.7476623,0.5238095238095238,0.016696252316332805,0.071639895,1.0,0.020712967542111896,2.108712666024759,0.03496939087772999
IVNS1ABP,0.570275,0.84301573,0.6153846153846154,0.0001953127195177384,0.45344523,0.9386448,0.689033189033189,0.001203268252601208,-0.11682978,1.0,0.020669903357979063,2.104547250388667,0.03533073746906745
